"Date","Room","Prov","Pot","W_treatment","Code","Height","D1","D2","D","Stemmass","Rootmass","Leafmass","Leafarea"
2016-02-08,2,"B",17,"d","B-17",29.6,3.88,3.49,3.685,1.16121922875963,1.09878494529062,1.83583386134955,420.835687524092
2016-02-08,2,"B",18,"d","B-18",27.4,3.98,3.69,3.835,1.23293273794195,1.18291029313765,1.78665880570244,421.480379602391
2016-02-08,2,"B",19,"d","B-19",35.7,3.34,3.47,3.405,1.05704450274259,0.948076853433031,2.00618170292709,429.777571859513
2016-02-08,2,"B",20,"d","B-20",26,3.42,3.09,3.255,0.739079962683583,0.886839507275435,1.37188516307217,323.401014806159
2016-02-08,2,"B",21,"d","B-21",30.4,2.78,2.56,2.67,0.466298000654707,0.620571560943205,1.24638181906412,273.823818577369
2016-02-08,2,"B",23,"d","B-23",30.4,3.44,3.08,3.26,0.830528275844382,0.88358501191799,1.61123065386979,361.528637892554
2016-02-08,2,"B",24,"d","B-24",25.9,2.57,2.78,2.675,0.41790339384629,0.626721832420262,1.06172755210773,245.447339311447
2016-02-08,2,"B",25,"d","B-25",29.3,3.29,3.39,3.34,0.867576557105933,0.923713430815102,1.60116831292306,364.422485668815
2016-02-08,2,"B",26,"d","B-26",29.5,3.42,3.39,3.405,0.921785962663687,0.955501060887589,1.65273549327778,376.114808990392
2016-02-08,2,"B",27,"d","B-27",42.6,3.82,3.88,3.85,1.71161127145621,1.16980986831166,2.81148851926892,576.950402002005
2016-02-08,2,"B",28,"d","B-28",36.9,3.7,3.65,3.675,1.34963402352235,1.0837007598144,2.28863483711344,489.107826286839
2016-02-08,2,"B",29,"d","B-29",26.5,2.95,2.96,2.955,0.566519379981463,0.746766648333248,1.23514350394598,286.471742429153
2016-02-08,2,"B",30,"d","B-30",35.2,3.64,3.56,3.6,1.22920113190618,1.04688340839524,2.12446751757484,459.854454509355
2016-02-29,2,"B",24,"d","B-24",51.5,5.14,5.21,5.175,4.61241168446716,1.95921213254458,4.98697358884279,994.294130886005
2016-02-29,2,"B",26,"d","B-26",45.5,4.79,4.69,4.74,3.27390596771368,1.68575163269639,3.92775939503596,806.925229393736
2016-02-29,2,"B",17,"d","B-17",49.5,5.27,5.23,5.25,4.67356834979057,2.01300341670746,4.87974490908077,986.698830677173
2016-02-29,2,"B",21,"d","B-21",52,4.12,4.05,4.085,2.34398156873951,1.28859009293952,3.71536661969747,720.266011022419
2016-02-29,2,"B",19,"d","B-19",55.7,5,4.98,4.99,4.3919339659987,1.83108441382472,5.15342537961388,998.428937234321
2016-02-29,2,"B",16,"d","d-16",59.5,4.84,4.86,4.85,4.24126424765548,1.73645383000262,5.31276899476983,1004.97774193445
